ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
31|0|67422|476|988036|1055458|428793|406659|76759|26906|16770|11411|20262
6|2|4257|52|130784|135041|49801|55877|10690|7327|3551|1839|1647
21|10|6143|122|164750|170893|62782|35505|28751|9878|12128|7713|7871
7|5|11678|106|158334|170012|14608|60622|32148|38243|5632|3618|3357
12|7|12702|55|148637|161339|11617|52516|57200|5939|7329|10780|3201
15|14|4819|159|165804|170623|47083|48687|38248|11301|8624|6322|5380
30|9|7028|59|171087|178115|56598|62112|29294|8850|6155|4105|3914
27|4|5177|77|175285|180462|7648|50997|82057|7592|13339|11440|2135
24|2|17443|187|143252|160695|45535|41322|24914|12010|6790|4488|8006
21|7|5502|52|135199|140701|28784|40642|27865|11040|12020|5858|8938
15|6|5273|129|196141|201414|40054|60815|56787|14045|9231|7508|7572
15|7|5890|197|197677|203567|52116|57281|49030|12758|11642|7633|7020
9|27|5261|134|154438|159699|18115|30403|62811|10870|15126|10352|6627
14|14|6780|116|163588|170368|49709|53249|11654|12988|4615|27030|4227
21|13|4311|54|125063|129374|40874|39871|18734|7767|9176|4523|4064
25|2|11699|54|161635|173334|61662|44207|18767|5097|3781|2971|25096
9|18|5010|156|153089|158099|20368|29696|61284|10124|15277|10910|5274
16|1|10510|100|116097|126607|18087|42653|38851|4297|5707|3589|2813
21|11|6660|187|179945|186605|70519|37288|30481|11459|13742|7928|8341
30|3|4537|73|145744|150281|51400|56702|18678|9256|3862|2605|3168
32|3|6390|124|159550|165940|26337|69745|26400|15439|11676|3558|6271
29|1|16675|74|156502|173177|53407|42961|30579|7209|8604|5677|7991
24|3|17141|101|136205|153346|51697|56168|9011|4805|7471|2794|4158
9|24|7655|241|185039|192694|53380|34129|60817|8577|14276|9091|4528
15|22|4048|99|134578|138626|42917|40992|28416|8534|5992|4056|3572
15|29|3672|90|133163|136835|14599|42052|46451|9032|7886|9032|4021
30|19|5802|47|147114|152916|54215|48578|24575|8730|4994|3429|2546
23|2|5685|61|152561|158246|22935|58437|38182|10654|10849|5046|6397
29|2|13322|88|169265|182587|44375|42545|43918|6852|14038|8619|8830
14|3|8073|116|163461|171534|65376|66192|4572|9917|1551|12030|3707
20|1|9610|59|144211|153821|44740|43463|32626|3751|7243|9480|2849
21|2|6694|39|145333|152027|36202|54623|20529|13557|9188|4107|7088
26|2|11370|96|147231|158601|55168|60971|16298|3468|5303|3579|2348
5|4|13164|62|143914|157078|48632|61100|14772|5968|4415|2525|6440
17|5|12716|103|147995|160711|33318|37611|39835|11009|11496|7758|6865
4|1|17848|69|184331|202179|54272|78420|21295|3627|5795|9703|11150
9|4|5402|132|161505|166907|24306|26449|64580|9478|19354|12136|5070
30|10|6919|145|177223|184142|49184|41975|52881|8727|10315|8238|5758
9|25|6076|168|164689|170765|23099|26680|68748|10253|18310|12003|5428
30|11|5545|123|178570|184115|32972|58701|58810|9612|8672|6835|2845
15|39|5194|110|165961|171155|14699|58790|53495|13807|8615|10421|6024
20|9|11273|153|134568|145841|37162|37155|38085|5221|7090|5745|3957
28|4|11877|72|150495|162372|58969|50112|16194|7648|4335|3286|9879
12|3|11555|24|142627|154182|5617|49138|67146|2627|7178|7181|3716
20|4|10132|69|118588|128720|30433|32902|34228|4557|7794|4748|3857
2|4|12543|59|147910|160453|44078|37915|31054|6907|13536|6495|7866
28|6|10413|39|156345|166758|64305|59994|11745|5155|2769|1946|10392
17|2|14004|239|162467|176471|36544|43382|48640|11269|8309|6479|7605
25|3|13299|49|140425|153724|35514|55832|15896|3449|3993|2950|22742
32|4|6618|111|168256|174874|26440|73915|28194|17271|11529|3505|7291
16|9|15300|115|130777|146077|31103|45316|33206|7886|5671|3383|4097
13|6|11754|145|176439|188193|62932|55497|29819|5445|7390|5350|9861
30|7|5371|67|153333|158704|56864|53129|21229|9089|4761|3293|4901
7|9|13004|250|156794|169798|24505|32745|38934|37974|9152|6379|6855
7|6|12674|129|165496|178170|30557|43948|30195|43944|7025|4049|5649
23|0|18747|447|523385|542132|107632|169662|142442|39592|29298|18340|15972
20|0|112544|1262|1491712|1604256|341938|443554|454538|50936|87852|80372|31260
3|0|20706|173|234141|254847|83723|89366|31290|5180|10417|8084|5908
18|0|36210|160|434148|470358|120837|173829|65769|11210|21069|13033|28241
8|0|120029|950|1213484|1333513|367551|493491|150244|63978|45532|28364|63374
26|0|72338|482|1025910|1098248|383879|410210|134351|16606|39064|23303|18015
10|1|12891|107|136957|149848|41802|70128|5812|2687|12551|1400|2470
11|14|13222|58|128893|142115|50961|35198|19802|8770|3070|7234|3800
20|10|10957|67|121307|132264|34504|29065|32842|11526|6683|4728|1892
1|3|11746|181|146686|158432|63217|43547|13759|6133|3722|3224|12903
18|1|10384|25|125816|136200|30396|55962|22363|2702|5296|2973|6099
18|2|12318|68|157741|170059|44913|54924|24867|4186|7959|5992|14832
23|1|7419|158|238771|246190|46870|78164|66522|20041|12328|8830|5858
5|0|83599|595|1101074|1184673|428904|412155|126647|37451|34944|21016|39362
32|0|24171|377|636918|661089|114075|272667|96403|61806|54316|12491|24783
11|0|201373|1339|1970944|2172317|902378|644260|160893|125647|36266|31713|68448
7|0|132412|1139|1900600|2033012|297547|531471|348315|505723|90227|42165|84013
6|0|10726|179|294073|304799|105761|125332|25862|16014|11118|4696|5111
30|5|4980|89|149761|154741|51639|53419|24336|7900|4649|3271|4458
11|2|13675|53|128825|142500|58748|39769|11190|7965|2540|2829|5731
9|14|5880|118|163943|169823|23498|26543|68940|9727|18010|11937|5170
30|21|5710|68|164827|170537|41760|59628|42628|7770|6288|4703|1982
16|7|11478|84|127962|139440|29098|41427|37386|7212|6331|3301|3123
15|13|4011|126|143750|147761|20295|48379|43065|11583|8562|6743|4997
30|17|6181|80|190812|196993|85766|59877|22858|9837|5187|3827|3380
28|3|12891|89|209605|222496|83755|71438|25060|7451|6065|3776|11971
1|2|14762|253|167102|181864|55277|50553|18790|8586|6126|5009|22508
21|0|103079|1451|2381283|2484362|707394|703707|408346|167852|183988|94761|113784
16|6|15760|42|121146|136906|30495|43157|27662|6536|5109|3396|4749
12|0|112084|615|1297705|1409789|121811|431916|501738|47894|80526|86453|26752
14|15|6751|66|160737|167488|52592|61527|14027|10725|6401|10742|4657
16|0|165227|1153|1484648|1649875|363772|522200|373318|78593|62050|39784|43778
15|24|3433|107|124414|127847|26551|44048|29756|9536|6293|4453|3670
20|6|10131|104|118217|128348|15593|30733|43853|3768|10062|11549|2555
22|3|14327|130|199441|213768|86329|64899|23369|6915|5757|7333|4709
9|15|9700|276|232364|242064|88480|43029|60718|10185|15314|9455|4907
20|3|11293|150|139322|150615|31658|44915|38933|4781|8066|7386|3433
17|4|11481|117|146038|157519|28344|44731|38855|10766|10767|8654|3804
21|14|5482|47|122118|127600|21083|44715|26508|9471|10244|5435|4615
14|10|8684|126|176087|184771|64629|52620|12726|12276|4526|25053|4131
28|5|11007|75|169660|180667|54065|57202|16524|4733|7284|3594|26183
14|18|7479|57|177551|185030|60435|62358|15801|8203|3036|18519|9142
25|1|10315|32|124417|134732|42632|50397|9032|2097|1520|1148|17559
2|2|12077|131|130370|142447|56555|38943|17265|4623|3416|3646|5791
21|8|5039|54|126473|131512|29499|38359|25422|10031|13159|5837|4112
30|8|6226|105|194701|200927|69245|60434|37428|9897|7901|5956|3735
25|6|11078|79|128030|139108|36671|50038|11662|2945|2495|1636|22504
13|0|86913|506|1136694|1223607|289610|438404|225316|38369|49840|28945|65704
2|8|14483|95|170529|185012|52337|46830|39039|7950|9482|8316|6480
29|0|43889|213|477371|521260|142149|123743|111122|18939|33722|22630|24853
9|12|6567|185|172904|179471|35251|37027|59012|11635|14315|10467|5012
29|3|13892|51|151604|165496|44367|38237|36625|4878|11080|8334|8032
15|0|213718|5059|6682503|6896221|1325440|2415609|1597722|475757|328524|319612|214780
14|0|135712|2576|3295864|3431576|999530|1190437|254620|224257|87206|434849|102389
28|2|11611|127|164223|175834|63602|50448|22791|7007|6118|4227|9903
19|10|9009|96|134351|143360|62882|42915|13220|2959|4917|2480|4882
11|4|16198|152|155894|172092|65766|58874|11549|8928|3158|2380|5087
25|8|12042|82|122005|134047|33932|38397|14862|5913|5343|3393|20083
18|3|13508|67|150591|164099|45528|62943|18539|4322|7814|4068|7310
32|2|5865|83|152796|158661|37957|64267|23797|12808|6268|2386|5230
22|1|15578|49|190699|206277|59622|89493|15772|9760|4206|6607|5190
5|1|11158|66|143371|154529|56689|57241|13248|5600|3796|2495|4236
11|1|12159|95|119417|131576|50430|43004|8741|8064|2455|1425|5203
15|2|5992|139|174038|180030|40635|61537|36081|11921|6596|11463|5666
14|2|7006|111|160949|167955|65994|60315|8172|12039|1707|8026|4585
8|6|13278|122|164659|177937|68324|59449|15157|7173|3667|2631|8136
27|0|35045|345|1056277|1091322|58994|366948|468557|40829|60436|48493|11675
1|0|38426|523|453856|492282|160863|140832|41990|21901|14797|10495|62455
2|0|91231|633|984753|1075984|343280|282979|184819|41966|52273|37178|41625
16|5|12935|81|132171|145106|43456|42114|27111|7076|4961|3211|4161
9|26|7988|333|196463|204451|51697|38997|63058|10280|16432|10241|5425
25|0|94924|555|1087682|1182606|281344|392252|132718|31302|35031|23997|190483
9|6|5470|139|163516|168986|23370|32155|66797|9896|14759|11194|5206
