ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
14|17|5055|52|178545|183600|52681|64544|16653|3501|3388|13041|5836|12482|4472|606|624|665
14|18|5177|30|180158|185335|60729|61992|19751|1866|2157|11983|5545|9779|4461|680|706|479
15|14|3250|91|167941|171191|41751|44396|37227|1536|3594|2277|4115|15773|13946|2285|696|254
9|10|3864|198|209031|212895|57139|45907|54154|1612|5335|3643|3430|13455|19723|3142|860|433
30|5|3451|58|151263|154714|49658|44197|29015|1565|2278|1642|3147|9965|7406|1661|481|190
7|4|7169|20|164394|171563|29438|41474|30952|28368|4688|2343|5285|11024|7619|2571|416|196
9|18|2896|103|155348|158244|19917|29557|50151|1507|5629|3536|3146|12344|24278|3777|941|462
15|20|2330|112|137041|139371|19299|36678|40355|1219|3033|3609|2926|12567|14191|1933|804|315
7|6|7508|17|171486|178994|31416|37830|38050|24363|5093|2704|3275|14013|10789|3127|570|239
8|5|3565|50|171029|174594|47964|70101|19934|2224|3014|1701|5693|13610|4981|1200|353|204
16|4|3594|34|132769|136363|37734|45457|26204|2140|1366|1346|2376|9330|4710|1599|382|91
6|2|3118|42|132272|135390|45955|46634|17806|1988|2633|1516|1896|8135|4290|954|291|132
25|4|4217|21|123164|127381|22349|51626|26245|1341|1341|1279|2657|9629|4870|1246|450|110
11|7|4537|36|162771|167308|67207|59002|12271|3846|981|751|3111|12800|2040|514|172|40
6|1|3063|67|166762|169825|55565|55508|24195|1556|5321|2351|2985|10317|6919|1318|394|266
32|4|4458|47|170652|175110|28043|66800|26903|4481|6526|1600|5788|20141|7157|2589|351|226
21|9|3394|71|172650|176044|50447|28775|36073|1588|7049|4109|4882|14320|20958|2893|899|586
9|19|3052|73|153051|156103|16219|25055|52385|1437|5810|3395|2832|10857|28559|4824|1065|540
9|24|3482|211|189893|193375|46741|37070|56769|1217|7124|3792|3134|10729|18828|3018|762|498
24|5|3809|154|164755|168564|65974|35865|27007|2645|3304|2543|5468|11854|7955|1263|464|259
21|16|6606|9|127657|134263|31454|48217|17337|1339|6219|1802|3012|9477|6079|2133|323|256
26|5|2964|56|141019|143983|56020|41174|20385|875|2783|1525|2353|9068|5409|871|309|191
15|31|2855|94|132287|135142|14466|36741|41674|1211|2228|3453|3239|11984|13768|2220|956|253
30|19|4626|28|148489|153115|53202|41783|25398|2346|2195|1516|1649|11066|6858|1822|479|147
30|9|5217|18|171702|176919|56831|45735|35728|1952|3333|2260|3358|10663|8916|2128|573|207
15|5|4003|65|207843|211846|35412|73188|46161|2113|5567|5635|4298|19117|12310|2679|853|445
2|4|2622|42|158669|161291|39365|40576|31969|2353|8014|3230|5472|12752|11073|2740|659|424
15|27|3511|116|190208|193719|45115|74807|27133|1853|6997|2194|5112|18118|6550|1641|322|250
24|7|10869|56|166997|177866|45355|55940|26368|4116|5959|6117|4814|11104|4287|1566|900|415
9|16|4029|152|189386|193415|34675|32855|60853|1702|5959|3683|3733|12739|26831|4547|1146|511
7|2|6533|27|153723|160256|17823|54800|35945|24049|5623|996|3653|4422|3519|2614|179|73
2|6|2852|71|158936|161788|41516|43069|32482|2369|3415|3869|4629|14715|9930|1881|700|290
8|6|3804|114|174463|178267|61945|57996|22891|2184|2532|1982|6574|11545|5126|928|438|208
21|11|3489|120|183539|187028|61620|30129|35419|1733|7684|3835|4661|15520|18608|2819|753|638
7|8|9224|28|171156|180380|19949|36144|30036|48890|6813|2349|5052|10259|7585|3411|422|218
15|21|2935|109|148830|151765|42553|42426|29343|1481|2813|1618|3260|14137|8592|1799|511|188
30|14|3376|52|152861|156237|39511|43727|38677|1545|2611|1937|1596|9694|10263|2491|587|170
22|2|6739|76|205719|212458|70136|66297|30291|2515|4599|2775|5868|14516|6845|1251|347|203
21|13|3123|31|126247|129370|37908|35012|19580|1141|5701|2291|2155|10669|8479|2412|484|384
19|2|2614|51|178096|180710|65972|52166|22893|2156|7032|1685|6397|11333|6493|1385|258|275
32|2|4328|49|154401|158729|40071|60875|20535|3628|3030|1121|4605|14580|3984|1534|262|127
9|21|2845|76|163326|166171|18004|30453|56393|1562|6415|3230|2847|11926|25829|5013|1013|565
30|16|3615|63|186253|189868|73724|41681|36648|1671|2548|3021|2819|10391|10696|2002|707|282
25|8|3148|79|130902|134050|34484|41872|20918|2147|3299|2079|2595|13293|8087|1391|413|245
15|16|4007|88|169383|173390|24132|53936|41881|1847|3332|2318|4254|18810|14554|3144|845|242
27|1|4593|8|160061|164654|14909|51475|60844|988|2767|4421|668|8000|11444|3415|908|214
19|4|2641|56|161843|164484|78848|31875|22476|1351|6346|1377|4962|6975|5893|1257|230|197
