ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
21|14|5239|52|121080|126319|18380|||9619|51955|41074
9|20|6103|187|177681|183784|31306|||6719|44590|94879
21|9|5817|112|168282|174099|59838|||13351|39639|55342
9|22|4792|142|148624|153416|12742|||4817|33070|97853
25|8|11589|155|120004|131593|43898|40897|5744|7295||22015
32|2|5587|40|150832|156419|39309|||5930|76324|29229
9|19|4663|110|150450|155113|14739|||4858|32328|98415
30|11|4411|82|175509|179920|22405|||2269|79470|71283
30|8|6149|103|192309|198458|67262|||4269|69699|50976
14|6|9279|230|195137|204416|73646|||5143|76575|39543
19|9|7196|44|175735|182931|46371|||20937|88488|19895
25|6|11013|82|124328|135341|40410|57257|3016|8474||15089
8|4|10757|67|90075|100832|20684|31856|6877|5984||24607
14|19|6213|57|168999|175212|46963|||8622|72003|41354
14|8|7303|162|166771|174074|57691|||4155|66862|37901
28|3|12630|111|209086|221716|78708|75778|5840|7480||41169
9|14|5606|158|164008|169614|21860|||5206|37533|99251
25|1|10348|38|124187|134535|51234|53849|2141|4649||12276
30|10|7366|206|173944|181310|45813|||8543|43610|75772
24|6|9094|454|152376|161470|57760|||8837|52618|32707
14|18|6570|66|175911|182481|63206|||11219|67022|34398
24|7|21089|300|155852|176941|51610|52484|6735|7660||37063
5|4|12456|84|142803|155259|48361|61539|5660|6658||20501
23|1|7191|186|235856|243047|44606|||7740|97930|85394
10|4|11033|97|169106|180139|42041|63168|3854|4574||55372
30|18|7151|89|164713|171864|44762|||2743|68925|48194
20|6|10256|95|116944|127200|14456|29328|5053|2919||65093
15|29|3405|104|132355|135760|13981|||3989|53076|61205
12|5|11046|39|156185|167231|15558|48084|2370|2255||87879
2|3|3684|73|143431|147115|33779|||4961|61172|43446
13|4|10665|67|135578|146243|42437|51783|7232|6657||27402
9|15|9263|247|233025|242288|86764|||5364|54493|86157
20|7|11436|40|140488|151924|19921|59087|2607|1395||57438
15|39|4952|143|165257|170209|14626|||6800|71880|71808
19|4|4304|93|159380|163684|87279|||7139|42717|22152
9|11|5236|193|155206|160442|24885|||4973|38759|86396
32|3|6249|159|156839|163088|29181|||7400|85200|34899
9|2|6224|193|173452|179676|45890|||5077|43623|78669
15|13|3917|123|143128|147045|19640|||5085|61780|56500
15|7|5640|195|196925|202565|54037|||7518|70106|65069
15|4|5339|110|193192|198531|41881|||7552|77612|66037
2|8|3879|141|178538|182417|49460|||7514|68091|53332
11|14|7031|42|133428|140459|50059|||3794|47769|31764
15|15|5634|130|171320|176954|61417|||5687|57016|47070
3|2|11389|106|122923|134312|45484|41909|4442|5012||25970
28|2|10631|71|161440|172071|61034|57646|6208|6873||29608
2|4|3558|55|154169|157727|41986|||10663|54073|47392
11|4|9126|116|161472|170598|65076|||6737|71613|17930
15|34|5721|152|179748|185469|49813|||7622|87671|34490
15|33|7058|177|198109|205167|27404|||7513|84817|78198
21|12|6144|152|178258|184402|58671|||14123|48915|56397
19|3|4237|86|179433|183670|72940|||4966|79949|21492
21|3|6393|53|143407|149800|51714|||6505|54396|30739
9|4|5154|158|161240|166394|23989|||5115|36122|95856
7|2|9369|60|150406|159775|15565|||6113|84624|44044
20|9|11280|142|132111|143391|34460|35228|6394|4650||51237
20|4|10333|93|116202|126535|25888|32092|4996|6841||46292
2|5|3458|124|140813|144271|48353|||5460|47094|39782
20|8|12010|278|167052|179062|38898|39625|10710|7350||70191
30|6|4148|45|138886|143034|39266|||3750|54408|41417
22|4|16095|195|207192|223287|81479|73801|7704|5173||38840
16|11|12921|85|122788|135709|20541|39649|5915|3589||53009
26|5|7770|111|133858|141628|70395|46846|1635|2176||12695
21|7|5406|53|134908|140314|25751|||18917|46611|43576
12|8|13562|55|140213|153775|30157|34851|10986|2761||61403
9|3|6024|188|181672|187696|35711|||6065|47242|92466
17|1|8895|229|177142|186037|42198|||7670|57454|69591
2|6|3875|89|154418|158293|43542|||6754|63613|40420
13|7|14622|48|171725|186347|33252|64692|7542|20172||46019
15|5|6032|91|204063|210095|33662|||5949|91635|72726
14|17|6122|90|174213|180335|53374|||7711|74954|38084
21|1|8629|63|157013|165642|51123|||3797|64984|37046
20|10|10582|72|119851|130433|32334|25458|19396|1820||40771
9|5|6170|235|163137|169307|48464|||4226|35712|74500
28|6|10302|50|154948|165250|59070|60034|10253|10484||15057
11|6|8244|136|185010|193254|82391|||6252|83117|13114
8|5|12768|73|160327|173095|53052|72698|4875|9381||20248
9|10|7494|223|204421|211915|63020|||5555|52155|83468
31|4|5800|126|196845|202645|89842|||4098|83226|19553
13|1|13069|85|157128|170197|30727|69462|2689|11008||43157
25|2|11314|87|159734|171048|55702|47534|5258|22951||28202
26|2|11739|96|144912|156651|64338|57487|3849|3302||15840
20|1|9782|52|141992|151774|44457|42491|4260|3439||47293
15|6|5482|146|195715|201197|43135|||10012|71114|71308
30|21|5059|36|163902|168961|35119|||1736|67369|59642
16|5|12123|68|129833|141956|40432|46305|6395|4030||32603
5|1|11067|88|141665|152732|55085|57529|5576|4472||18915
1|2|14691|315|164833|179524|51578|51317|9837|20528||31258
17|4|7173|95|147812|154985|25851|||4371|58734|58761
14|15|6153|70|159944|166097|53400|||4706|71288|30480
15|16|4983|125|167533|172516|24389|||7289|72762|62968
9|16|6681|192|185491|192172|38835|||6735|42650|97079
10|1|12697|87|135195|147892|37172|67548|3586|3227||23575
17|2|7772|213|166874|174646|33870|||10549|57475|64767
12|4|5712|107|143275|148987|12882|||4294|54026|71966
29|1|16829|92|157078|173907|43093|48664|7687|14192||43350
23|2|5255|64|150584|155839|21222|||11702|66855|50741
15|38|6441|806|165857|172298|18594|||7799|57969|80689
20|3|11748|493|137612|149360|24856|49261|5651|3990||53361
9|24|7051|256|184988|192039|51201|||4332|43394|85805
11|7|6379|62|158719|165098|66466|||3776|74929|13486
22|1|15518|56|187441|202959|56505|86287|11044|7724||25825
10|2|15960|81|168932|184892|52139|74151|5888|5171||31502
1|1|12054|114|138830|150884|39408|47803|7888|25679||17938
14|13|6513|160|166252|172765|49023|||5162|69307|42600
30|5|4589|96|147092|151681|44463|||9752|63764|29017
