ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
15|13|3909|126|143283|147192|20186|48263|42884|11567|8544|6733|4980
20|6|9993|104|117628|127621|15482|30628|43591|3755|10035|11505|2528
16|7|11401|81|127108|138509|28843|41215|37150|7171|6282|3261|3105
30|19|5594|45|145941|151535|53835|48229|24273|8691|4959|3392|2517
15|22|3984|99|134022|138006|42677|40844|28275|8521|5989|4054|3563
15|29|3557|90|132741|136298|14509|41949|46283|9023|7866|9016|4005
21|9|5898|113|168374|174272|59300|35400|31861|10491|13278|8761|9170
21|7|5399|52|134896|140295|28695|40580|27757|11031|12003|5850|8928
14|13|6569|115|166966|173535|47550|59389|12101|12104|4530|26470|4707
27|2|5319|39|155136|160455|4674|57700|72043|5762|8225|5189|1504
13|4|10419|77|136026|146445|42274|52668|22428|4452|4560|2556|7011
30|10|6551|142|175706|182257|48796|41643|52303|8704|10234|8158|5726
26|2|11308|85|146510|157818|54938|60704|16135|3448|5290|3570|2340
12|3|11263|24|140635|151898|4897|48723|66531|2571|7097|7116|3676
20|4|10055|68|117875|127930|30244|32728|33984|4538|7759|4715|3839
28|6|10359|39|155224|165583|63752|59710|11614|5110|2755|1930|10314
32|0|23403|369|632107|655510|112367|271324|95377|61605|54108|12382|24575
26|7|10826|47|150735|161561|59341|53905|26203|1705|4721|2555|2258
14|7|5922|110|158844|164766|38936|62181|11472|13490|5605|21590|5460
19|2|10139|60|169037|179176|53417|79066|13583|5387|6756|2343|8425
14|1|5901|68|167559|173460|48547|68208|15788|8724|5760|14498|5966
3|1|9331|60|106619|115950|38998|41766|13214|1667|4816|3515|2583
14|18|7235|57|176517|183752|59977|62130|15625|8183|3010|18426|9109
30|7|5347|64|152249|157596|56560|52819|20929|9046|4705|3243|4883
2|8|14145|94|168890|183035|51768|46425|38597|7897|9430|8254|6425
13|6|11700|144|175470|187170|62605|55243|29550|5419|7356|5329|9824
27|0|33887|337|1049235|1083122|57554|365254|465402|40640|60243|48250|11555
5|0|82843|587|1094348|1177191|425569|410774|125313|37271|34786|20878|39170
15|21|4447|130|147030|151477|45914|46746|29585|10129|6065|4286|4175
9|18|4861|156|152307|157168|20171|29514|60999|10088|15256|10877|5246
8|0|119225|946|1207844|1327069|365278|491850|149142|63799|45411|28258|63160
24|2|17394|184|142913|160307|45380|41257|24840|11994|6780|4480|7998
3|0|20230|153|229767|249997|81874|88216|30401|5069|10283|7950|5821
18|0|35550|152|429125|464675|119006|172399|64742|11066|20914|12834|28012
26|0|71623|455|1019257|1090880|381405|408175|132840|16467|38855|23166|17894
13|3|12198|48|166133|178331|34245|66823|33663|4495|9247|4140|13472
9|23|6865|181|187852|194717|37847|27525|78724|8084|18301|12508|4682
14|9|6182|107|155984|162166|40672|58282|11258|12069|5106|23646|4844
2|1|13292|66|126228|139520|47036|42916|16876|5339|3717|3721|6557
