ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PANAL|PRI_PVEM|PRD_PT_MC
21|3|4858|21|146761|151619|48751|3200|58809|35980
15|13|2917|106|144891|147808|20187|3622|59774|61202
2|2|2795|69|139454|142249|49543|3584|52808|33450
28|8|2287|44|163420|165707|80729|3358|44300|34989
25|7|3959|94|142489|146448|31033|3788|72025|35549
9|5|2925|167|167186|170111|40766|2712|40791|82750
9|20|3292|159|183087|186379|30428|3627|48037|100836
15|15|3290|112|175326|178616|56875|3522|59157|55660
13|5|3020|35|181617|184637|28545|5663|81643|65731
15|12|4600|96|207613|212213|28663|5430|86971|86453
31|1|3454|11|198055|201509|78748|3556|90699|25041
8|9|6460|92|143855|150315|32500|3924|92019|15320
11|4|5600|134|166526|172126|63965|5066|73941|23420
12|2|4473|17|159148|163621|21069|3467|66926|67669
14|11|3969|84|157591|161560|44388|5042|63334|44743
15|1|5320|33|167621|172941|34756|3010|98230|31592
14|14|3521|82|166825|170346|57588|4730|61489|42936
5|6|3044|86|187396|190440|70258|4887|60451|51714
8|8|4401|132|171262|175663|48361|7842|79321|35606
12|5|6730|35|160350|167080|16662|1685|52792|89176
21|2|5315|105|146187|151502|35061|3801|67367|39853
14|6|3489|149|202294|205783|81769|4602|73721|42053
2|1|2978|49|137558|140536|42922|3759|58643|32185
4|2|5372|31|174193|180263|53429|3138|67417|50876
16|5|3500|41|141486|144986|41587|3286|57532|39040
8|4|2850|69|98488|101338|20423|4240|42893|30863
14|13|3273|133|169855|173128|54552|4892|65963|44315
18|1|3442|25|132634|136076|21727|1572|69509|39801
26|2|3857|91|156158|160015|49006|2618|73699|30744
7|5|7880|49|161928|169808|15560|2454|88849|55016
9|4|3014|109|164219|167233|23252|3007|38670|99181
9|23|3664|147|192323|195987|32245|2933|40497|116501
13|3|3874|35|174993|178867|23816|9211|78447|63484
15|33|4316|84|202507|206823|28720|4572|90163|78968
21|10|3211|55|167742|170953|53568|4076|43750|66293
20|7|3186|16|150173|153359|22982|979|58634|67562
21|15|3479|34|144309|147788|38216|3003|52396|50660
28|5|3394|52|177453|180847|59608|4594|71906|41293
28|2|3701|47|172558|176259|70252|3897|57069|41293
28|4|3602|41|157875|161477|61298|3903|59877|32756
21|7|4078|19|136793|140871|26589|3223|51761|55201
16|7|3897|49|134755|140081|27269|2403|56203|50260
30|10|3478|85|181776|185254|44666|4112|43855|89058
14|17|5055|52|178545|183600|52681|5836|80527|39449
14|18|5177|30|180158|185335|60729|5545|73637|40217
15|14|3250|91|167941|171191|41751|4115|61705|60279
9|10|3864|198|209031|212895|57139|3430|60974|87290
30|5|3451|58|151263|154714|49658|3147|55727|42673
7|4|7169|20|164394|171563|29438|5285|80866|48785
9|18|2896|103|155348|158244|19917|3146|43408|88774
15|20|2330|112|137041|139371|19299|2926|50464|64240
7|6|7508|17|171486|178994|31416|3275|76206|60572
8|5|3565|50|171029|174594|47964|5693|85935|31387
16|4|3594|34|132769|136363|37734|2376|56927|35698
6|2|3118|42|132272|135390|45955|1896|56757|27622
25|4|4217|21|123164|127381|22349|2657|62596|35541
11|7|4537|36|162771|167308|67207|3111|75648|16769
6|1|3063|67|166762|169825|55565|2985|67381|40764
32|4|4458|47|170652|175110|28043|5788|91422|45352
21|9|3394|71|172650|176044|50447|4882|44683|72567
9|19|3052|73|153051|156103|16219|2832|37349|96578
9|24|3482|211|189893|193375|46741|3134|49016|90791
24|5|3809|154|164755|168564|65974|5468|50364|42795
21|16|6606|9|127657|134263|31454|3012|59033|34149
26|5|2964|56|141019|143983|56020|2353|51117|31473
15|31|2855|94|132287|135142|14466|3239|49936|64552
30|19|4626|28|148489|153115|53202|1649|55195|38415
30|9|5217|18|171702|176919|56831|3358|58350|53145
15|5|4003|65|207843|211846|35412|4298|94418|73650
2|4|2622|42|158669|161291|39365|5472|55681|58109
15|27|3511|116|190208|193719|45115|5112|94778|45087
24|7|10869|56|166997|177866|45355|4814|71160|45612
9|16|4029|152|189386|193415|34675|3733|47296|103530
7|2|6533|27|153723|160256|17823|3653|83271|48949
2|6|2852|71|158936|161788|41516|4629|60153|52567
8|6|3804|114|174463|178267|61945|6574|71725|34105
21|11|3489|120|183539|187028|61620|4661|47382|69756
7|8|9224|28|171156|180380|19949|5052|95293|50834
15|21|2935|109|148830|151765|42553|3260|58044|44864
30|14|3376|52|152861|156237|39511|1596|54966|56736
22|2|6739|76|205719|212458|70136|5868|83328|46311
21|13|3123|31|126247|129370|37908|2155|46822|39331
19|2|2614|51|178096|180710|65972|6397|65655|40021
32|2|4328|49|154401|158729|40071|4605|79083|30593
9|21|2845|76|163326|166171|18004|2847|43941|98458
30|16|3615|63|186253|189868|73724|2819|53743|55904
25|8|3148|79|130902|134050|34484|2595|57312|36432
15|16|4007|88|169383|173390|24132|4254|74593|66316
27|1|4593|8|160061|164654|14909|668|60463|84013
19|4|2641|56|161843|164484|78848|4962|40201|37776
13|4|4277|30|144597|148874|29713|6269|61780|46805
20|2|4211|46|132314|136525|22387|663|52434|56784
11|6|4554|359|189202|193756|85631|4696|81361|17155
16|10|4642|117|154752|159394|39513|4256|69712|41154
29|2|3102|31|179781|182883|32902|5319|60349|81180
27|4|3307|29|176836|180143|8676|1210|46164|120757
18|2|3300|45|166988|170288|26241|4848|71582|64272
15|29|2609|76|134176|136785|15589|2987|51930|63594
27|2|4618|16|157345|161963|6418|802|57059|93050
15|2|3616|66|175646|179262|34783|3943|80143|56711
17|1|3552|86|186757|190309|46960|3954|59252|76505
15|7|3363|172|200220|203583|46155|5473|71415|77005
9|9|3247|117|168447|171694|26029|3451|52720|86130
28|6|3423|26|165072|168495|68388|2434|72296|21928
30|21|4312|21|166171|170483|39881|1399|62595|62275
8|7|4045|71|151726|155771|30606|4574|80731|35744
29|1|4588|34|168856|173444|36977|5922|68486|57437
25|1|4512|15|130958|135470|42941|1641|67028|19333
27|5|4460|7|188414|192874|16244|884|58346|112933
16|2|4183|46|131854|136037|25448|2910|55291|48159
30|15|4522|36|181271|185793|60562|3168|55855|61650
20|6|5360|65|123033|128393|12933|1099|38730|70206
30|4|2994|45|170793|173787|83149|2300|44942|40357
20|4|5170|49|123687|128857|26685|2401|42421|52131
32|1|3911|35|157990|161901|26509|5547|82343|43556
28|3|5240|302|218571|223811|92938|4434|80018|40879
19|3|2783|54|181797|184580|76456|5543|56126|43618
15|23|6647|34|182228|188875|40210|3446|97599|40939
11|14|5307|23|137043|142350|50456|3303|53944|29317
16|11|4835|76|131737|136572|21839|2804|54661|52357
26|4|6203|63|155431|161634|44528|2324|60371|48145
1|3|4042|126|155344|159386|57346|7353|56244|34275
26|6|4857|49|164106|168963|34741|2103|71028|56185
30|17|4967|67|191673|196640|81643|2786|66407|40770
19|12|5704|68|268039|273743|92540|6940|110603|57888
15|11|3081|118|158149|161230|25083|4054|64657|64237
14|8|2896|112|172736|175632|64429|4093|60820|43282
28|7|3573|54|183368|186941|80696|3761|55096|43761
23|1|4601|99|240885|245486|49877|4414|80227|106268
3|2|2915|63|134365|137280|40464|2635|55012|36191
18|3|4087|46|160241|164328|35106|2500|80679|41910
22|1|7704|34|198159|205863|56049|4543|100903|36630
24|6|4220|154|158042|162262|55533|7180|49218|45957
21|8|3601|31|128174|131775|26045|1950|47800|52348
7|7|6051|37|134595|140646|31637|4472|58208|40241
15|22|2498|87|134508|137006|39426|2678|50142|42175
13|1|7578|35|163502|171080|29982|5964|75727|51794
10|2|3234|68|182507|185741|54686|4261|81743|41749
9|27|2725|90|156772|159497|15665|3113|42608|95296
22|4|4821|112|221930|226751|84711|4614|76633|55860
15|24|2565|78|125577|128142|25047|2904|53553|43995
9|6|3113|110|165969|169082|21983|3375|45449|95052
20|10|5290|55|126585|131875|30983|1162|45449|48936
