ID_ESTADO|ID_DISTRITO|TIPO_CANDIDATURA|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
32|1|4|5078|56|155141|160219|22945|56570|14497|8422|21387|1098|5933|15638|5114|3042|150|289
32|1|5|5298|59|156316|161614|23341|64740|18012|16288|24843|3042|5991|||||
32|2|4|5726|82|152038|157764|37684|57998|21797|6730|4442|1228|5201|12088|2889|1560|215|124
32|2|5|5865|83|152796|158661|37957|64267|23797|12808|6268|2386|5230|||||
32|3|4|6152|120|157960|164112|25776|61733|23429|7765|9136|1923|6208|15221|4124|2086|289|150
32|3|5|6390|124|159550|165940|26337|69745|26400|15439|11676|3558|6271|||||
32|4|4|6447|111|166968|173415|25962|64922|24974|8587|8520|1656|7233|17255|4818|2488|231|211
32|4|5|6618|111|168256|174874|26440|73915|28194|17271|11529|3505|7291|||||
19|3|4|10192|78|173037|183229|69485|66124|13741|4226|6688|1657|7236||2625|951|96|130
19|4|4|7909|71|155638|163547|79484|42840|12036|3823|5397|1346|7282||2321|806|103|129
27|6|4|6484|76|196422|202906|10102|62210|75659|3659|3475|4392|2296|10885|17404|5111|1028|125
27|6|5|6593|80|197947|204540|10389|68018|85262|9136|11938|10814|2310|||||
19|7|4|7892|69|120349|128241|47622|45525|9906|2497|4910|1344|5289||2258|725|91|113
19|8|4|8377|56|147806|156183|58629|57286|11289|3531|4731|1381|7447||2408|810|92|146
16|11|4|13489|95|122511|136000|21518|40362|38337|6254|2381|1677|3584||5093|2690|419|101
11|5|4|20373|112|176380|196753|90254|58287|7384|11158|1538|1386|5025||874|231|78|53
16|12|4|9581|57|102290|111871|22023|40335|26162|3777|1760|812|1919||3328|1770|294|53
19|11|4|9237|62|143453|152690|52027|59577|10784|3584|5218|1316|7310||2370|953|117|135
11|6|4|21034|183|171550|192584|83362|58369|7915|11432|1697|1339|5611||1183|335|66|58
20|2|4|8522|63|126599|135121|26098|44497|33908|2478|4543|8914|1008||3368|1128|400|194
16|2|5|13550|90|122308|135858|25391|41284|36122|5984|6087|3670|3680|||||
19|12|4|15533|182|256949|272482|81167|116736|20963|5966|12776|2523|12295||2678|1281|176|206
23|1|4|7149|153|236523|243672|45876|68659|58597|10941|5216|3429|5830|18105|14185|4320|914|298
16|3|5|13565|49|115022|128587|21817|42012|30885|6585|6796|3146|3732|||||
5|7|4|10407|133|136114|146521|56625|49763|12087|4437|2745|1392|5799||2253|672|119|89
17|5|5|12716|103|147995|160711|33318|37611|39835|11009|11496|7758|6865|||||
21|9|4|5898|113|168374|174272|59300|29604|26090|4696|7538|3931|9170|11591|12975|2355|536|475
9|20|5|6279|132|178927|185206|32941|33429|64474|10521|19198|11874|6358|||||
9|21|4|5703|168|160171|165874|20022|27391|55896|6336|8440|4332|6164|8352|17366|4472|714|518
9|21|5|5720|168|160626|166346|20165|31652|64440|10527|16744|10749|6181|||||
9|23|4|6865|181|187852|194717|37847|24439|69918|4999|9589|5584|4682|6171|18602|4392|818|630
9|23|5|6931|181|188413|195344|38017|27590|78962|8099|18333|12542|4689|||||
9|25|4|5619|167|162497|168116|22452|22537|58808|6494|9104|4779|5373|7374|19308|4679|775|647
9|26|5|7991|333|196463|204454|51697|38997|63058|10280|16432|10241|5425|||||
9|27|4|5150|134|153760|158910|17979|26005|54815|6582|7518|4452|6602|8525|15997|4059|670|422
9|27|5|5261|134|154438|159699|18115|30403|62811|10870|15126|10352|6627|||||
10|1|4|12772|107|135856|148628|41360|69738|4369|2649|11083|513|2435||2250|1114|50|188
10|1|5|12891|107|136957|149848|41802|70128|5812|2687|12551|1400|2470|||||
10|2|4|15785|66|168651|184436|54625|76843|16512|4470|3802|1506|4105||4965|1375|233|149
10|2|5|15882|68|169952|185834|55152|77262|19184|4510|6246|3383|4147|||||
10|3|4|14916|41|151613|166529|48114|77054|7191|3533|7133|844|3360||2695|1292|140|216
10|3|5|15036|42|152554|167590|48405|77404|8963|3578|8817|1946|3399|||||
10|4|4|10982|98|169002|179984|65140|64794|7410|3531|16286|1115|3996||4452|1712|106|362
10|4|5|11132|99|170540|181672|65761|65331|9977|3579|18907|2863|4023|||||
11|1|4|12075|94|118880|130955|50237|42854|8174|8049|1993|1133|5178||693|383|49|43
11|1|5|12159|95|119417|131576|50430|43004|8741|8064|2455|1425|5203|||||
11|2|4|13407|49|126907|140314|57837|39422|10360|7895|2111|2497|5672||659|292|73|40
11|2|5|13675|53|128825|142500|58748|39769|11190|7965|2540|2829|5731|||||
11|3|4|21897|212|175054|196951|86190|59213|8264|10809|1663|1315|6038||942|280|95|33
11|3|5|21971|212|175634|197605|86478|59319|8898|10832|2142|1704|6049|||||
11|4|4|16086|150|154995|171081|65422|58681|10682|8903|2517|1899|5067||1126|383|93|72
11|6|5|21094|183|172077|193171|83580|58526|8611|11458|2294|1801|5624|||||
11|7|4|14724|51|150601|165325|68833|55355|9626|9612|1138|944|3563||981|369|99|30
11|7|5|14933|53|152254|167187|69545|55761|10510|9701|1692|1380|3612|||||
11|8|4|13161|62|172132|185293|81742|50911|12594|11071|2958|2377|8041||1721|462|122|71
11|9|5|15157|124|153259|168416|69693|59851|9412|5666|2405|2124|3984|||||
11|11|4|13367|27|132119|145486|57822|49076|10717|6620|2339|853|2952||1053|539|65|56
11|11|5|13408|28|132367|145775|57927|49131|11420|6634|2992|1271|2964|||||
11|12|4|15973|112|151008|166981|69990|47749|12626|8027|2362|2131|5486||1898|395|152|80
11|12|5|16059|112|151547|167606|70252|47859|13637|8043|3249|2896|5499|||||
11|14|5|13222|58|128893|142115|50961|35198|19802|8770|3070|7234|3800|||||
12|2|4|11596|73|150073|161669|17047|54154|51471|7309|4264|2064|4366||6209|2484|509|123
12|2|5|11827|77|151272|163099|17319|54523|55437|7358|7676|4480|4402|||||
12|3|5|11555|24|142627|154182|5617|49138|67146|2627|7178|7181|3716|||||
12|5|4|10656|40|154974|165630|15013|48647|56981|2243|14902|8615|1933||3060|2791|483|266
12|6|5|13076|145|155224|168300|13456|58589|51431|6192|10595|11892|2924|||||
12|7|4|12411|55|146980|159391|11399|52058|51970|5891|3139|7358|3160||8472|2399|861|218
12|7|5|12702|55|148637|161339|11617|52516|57200|5939|7329|10780|3201|||||
12|9|4|14386|126|124136|138522|12069|36914|40985|4034|2938|8484|3185||11249|2450|1416|286
13|1|4|13299|50|156723|170022|34500|67996|32583|2746|3628|1450|8878||3007|1517|271|97
13|2|4|11107|54|152612|163719|35508|60653|29570|4735|5284|1603|7118||5124|2490|348|125
13|2|5|11143|54|152986|164129|35631|60742|32809|4747|8312|3558|7133|||||
13|3|4|12198|48|166133|178331|34245|66823|30232|4495|5905|1806|13472||6214|2365|351|177
13|3|5|12198|48|166569|178767|34377|66922|33812|4509|9263|4150|13488|||||
13|4|4|10419|77|136026|146445|42274|52668|20536|4452|2749|1254|7011||3372|1276|259|98
13|5|4|13062|88|172007|185069|37873|65424|35897|9522|3209|2297|6867||7700|2460|508|162
13|6|4|11700|144|175470|187170|62605|55243|25973|5419|3856|2485|9824||7327|1790|478|326
13|6|5|11754|145|176439|188193|62932|55497|29819|5445|7390|5350|9861|||||
13|7|4|14518|41|172224|186742|40809|68170|27196|6817|4027|2589|12325||7411|2137|468|234
13|7|5|14683|41|173267|187950|41122|68476|31264|6854|7713|5432|12365|||||
14|2|4|6748|107|159465|166213|65424|54828|7381|6923|1141|7487|4515|10102|1027|249|145|136
14|2|5|7006|111|160949|167955|65994|60315|8172|12039|1707|8026|4585|||||
14|4|4|6642|181|171121|177763|44491|61529|10216|6331|2984|21994|4842|13421|3687|444|509|492
14|4|5|6825|182|172332|179157|45029|68446|12170|13064|4713|23856|4872|||||
14|6|5|8771|200|196527|205298|70642|69634|12784|12716|4155|21961|4435|||||
14|7|4|5922|110|158844|164766|38936|55608|9630|6918|3755|19764|5460|13145|4080|506|458|474
14|8|5|7501|144|167774|175275|57322|56768|12372|10105|4142|22785|4136|||||
14|9|5|6207|107|156629|162836|40876|58419|11382|12093|5135|23747|4870|||||
14|10|4|8604|117|174811|183415|63972|46581|10555|6362|2631|23041|4113|11785|4177|444|539|494
14|11|4|5638|90|154896|160534|37394|51628|9610|5894|2812|24592|4811|12003|4456|414|610|582
14|12|5|10048|569|251501|261549|61743|80570|20715|18177|7037|55457|7233|||||
14|13|5|6661|115|167612|174273|47785|59525|12215|12125|4558|26562|4727|||||
14|14|4|6748|116|162983|169731|49437|46904|9620|6713|2733|25021|4214|12529|4101|419|598|578
14|16|4|6534|114|173204|179738|46328|56385|9818|7121|2651|26441|4960|13453|4278|479|607|569
14|16|5|6685|115|174288|180973|46784|63322|11992|13886|4626|28561|5002|||||
14|17|5|6572|101|176585|183157|49698|67786|13700|12375|4821|20975|7129|||||
14|19|4|7051|67|168606|175657|46759|57855|20373|6104|3140|15013|7265|7898|2520|654|389|569
15|1|5|6524|62|166571|173095|37260|83834|18257|11502|6208|5597|3851|||||
15|2|4|5898|139|173007|178905|40296|55070|32613|5685|3474|8763|5634|12378|6847|1338|491|279
15|2|5|5992|139|174038|180030|40635|61537|36081|11921|6596|11463|5666|||||
15|3|5|6655|79|147708|154363|34346|74516|14668|10854|3368|5456|4421|||||
15|4|4|5478|90|193902|199380|41792|54714|42207|5990|4520|6839|7230|16131|10726|2675|720|268
15|5|5|6286|92|205170|211456|36298|75557|50223|14289|11468|11141|6102|||||
15|6|4|5257|129|195684|200941|39895|53495|51672|6816|4428|3714|7562|14440|10029|2643|632|229
15|6|5|5273|129|196141|201414|40054|60815|56787|14045|9231|7508|7572|||||
15|8|4|3685|87|134909|138594|21809|41306|33603|4557|3135|3738|4938|11762|7474|1753|537|210
15|9|5|7405|79|176638|184043|31385|85476|17196|14168|9274|13631|5429|||||
15|10|4|5016|134|186767|191783|28073|55249|45797|7674|4307|3724|6748|18273|12828|3006|723|231
15|10|5|5016|134|187360|192376|28219|64530|52144|16833|10227|8498|6775|||||
15|12|5|6785|182|205156|211941|33981|66828|59944|15909|9609|11091|7612|||||
15|13|4|3909|126|143283|147192|20186|41513|37901|4817|3749|2778|4980|13500|10556|2301|625|251
15|13|5|4011|126|143750|147761|20295|48379|43065|11583|8562|6743|4997|||||
15|14|4|4726|159|165264|169990|46816|42180|33699|4903|4337|2765|5371|12793|9529|1967|515|230
15|16|5|5013|143|167790|172803|24530|60338|46259|13811|9646|6977|6086|||||
15|17|4|4412|132|153627|158039|21179|42578|41958|5528|4024|3363|6857|13602|11265|2260|636|245
15|17|5|4530|132|154368|158898|21329|49592|47416|12350|9061|7584|6904|||||
15|18|4|6348|138|196202|202550|54950|63702|34109|5875|8322|2828|5075|12797|5902|1939|368|197
15|19|5|4673|115|156817|161490|35503|48692|42203|11180|8406|5861|4857|||||
15|20|5|3597|134|136249|139846|18873|41301|46303|8976|8079|8760|3823|||||
15|21|4|4447|130|147030|151477|45914|40993|26690|4376|3256|2090|4175|11506|5752|1588|365|195
15|22|4|3984|99|134022|138006|42677|35940|25423|3618|3217|1873|3563|9807|5919|1468|289|129
15|23|5|8240|87|180964|189204|41463|78907|32022|11900|8694|2966|4925|||||
15|24|5|3433|107|124414|127847|26551|44048|29756|9536|6293|4453|3670|||||
15|25|4|3889|61|141004|144893|16364|44083|36622|5103|3401|3051|4821|14457|9917|2343|606|175
15|26|4|5902|94|185501|191403|48822|71643|23273|5475|3242|1958|6890|18156|4317|1291|229|111
15|26|5|5957|94|186808|192765|49274|81120|25778|14608|5423|3594|6917|||||
15|27|5|6488|123|186580|193068|45528|81637|24913|12240|11761|5077|5301|||||
15|29|4|3557|90|132741|136298|14509|36864|41774|3938|3624|5345|4005|10170|9528|1904|761|229
15|30|5|3827|103|135228|139055|14670|40587|49488|9014|8599|8815|3952|||||
15|31|4|3606|113|131220|134826|12947|35138|44427|3804|3099|5202|4084|9421|9913|2046|809|217
15|31|5|3627|115|131914|135541|13030|40004|49433|8559|7587|9076|4110|||||
15|33|4|6806|178|198628|205434|28005|65395|42809|6515|6650|18134|6106|13714|7950|1719|976|477
15|33|5|7036|178|199729|206765|28327|72513|47137|13414|10448|21556|6156|||||
15|34|5|5850|163|180618|186468|49324|75628|28238|12155|5144|3473|6493|||||
15|35|4|6053|65|161151|167204|28262|64391|29840|4533|5796|5917|5279|11384|3581|1470|404|229
15|37|4|4421|103|162586|167007|27830|47861|38864|6080|4418|7294|6291|12855|8176|1721|724|369
15|37|5|4429|131|162990|167419|27952|54372|42932|12515|8199|10579|6310|||||
15|38|5|5376|426|167612|172988|18173|51547|45995|12267|8663|24668|5873|||||
15|40|4|6106|123|158878|164984|34160|65528|24951|4655|5478|3464|4344|12168|2408|1313|194|92
15|40|5|6152|123|159129|165281|34236|71677|26593|10751|6986|4414|4349|||||
16|1|4|10332|99|114986|125318|17688|42313|35256|4252|2487|1344|2783||5849|2378|417|120
16|1|5|10510|100|116097|126607|18087|42653|38851|4297|5707|3589|2813|||||
16|2|4|13470|90|121742|135212|25150|41155|32548|5955|2802|1473|3672||5698|2635|455|109
16|3|4|13528|46|114636|128164|21700|41912|27578|6565|3699|1360|3719||4638|2973|342|104
16|4|4|11687|71|123761|135448|38533|43951|24688|5412|1667|1359|3122||3177|1418|293|70
16|4|5|11765|73|124268|136033|38717|44089|26706|5431|3488|2622|3142|||||
16|5|4|12667|78|130422|143089|42774|41650|24529|6992|2797|1671|4116||3804|1604|311|96
16|6|4|15655|41|120078|135733|30223|42919|24460|6480|2310|1481|4707||4709|2182|444|122
16|6|5|15738|42|120868|136606|30426|43061|27595|6523|5099|3387|4735|||||
16|7|4|11401|81|127108|138509|28843|41215|34440|7171|3686|1643|3105||4216|2281|326|101
16|7|5|11478|84|127962|139440|29098|41427|37386|7212|6331|3301|3123|||||
16|8|4|18547|121|128254|146801|34635|49572|20998|8767|2426|2407|4351||3618|945|302|112
16|9|4|15228|115|130150|145378|30869|45190|30306|7861|3026|1621|4086||4585|2067|312|112
16|10|4|18421|242|139417|157838|46600|49399|20230|8708|2787|2544|4381||3206|913|268|139
16|10|5|18566|246|140503|159069|46985|49615|22233|8739|4422|3857|4406|||||
16|11|5|13519|95|122867|136386|21618|40414|41734|6267|5498|3650|3591|||||
16|12|5|9627|57|102641|112268|22166|40433|28377|3800|3788|2097|1923|||||
17|1|4|15433|218|170906|186339|48346|42173|43297|9358|5818|4273|5410||8809|2377|529|298
17|1|5|15910|220|174101|190011|49573|42770|48676|9451|10215|7732|5464|||||
17|2|4|13773|239|160743|174516|35995|43029|43827|11207|4177|3263|7540||8419|2355|512|180
17|2|5|14004|239|162467|176471|36544|43382|48640|11269|8309|6479|7605|||||
17|3|4|12770|162|158260|171030|30757|38813|42427|15685|6145|6202|6955||8060|2025|615|414
17|3|5|13022|165|159493|172515|31108|39089|46886|15721|10097|9445|6982|||||
