ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
15|9|7593|88|174381|181974|31111|75611|14059|5244|7404|12779|6999|15639|3798|894|487|268
11|1|6875|73|123899|130774|49054|43086|8714|7253|2022|1000|5559|5886|752|386|65|49
5|2|11733|56|167538|179271|61226|67710|17088|5284|3665|1869|5783||3285|1145|259|168
16|6|14958|65|118908|133866|34233|41511|22594|5439|2154|1328|4403||4552|2139|387|103
10|3|14886|46|151016|165902|48738|72648|7291|6797|6799|811|3593||2671|1284|128|210
19|2|4172|91|175115|179287|58074|71083|12028|5474|5327|1472|8773|9222|2522|824|92|133
31|3|6185|144|213254|219439|87725|79818|15088|4181|2418|2487|4479|12995|2920|620|245|134
11|2|8380|59|131950|140330|58328|39376|10442|6972|2143|2334|6001|5163|700|289|83|60
15|40|6200|116|158962|165162|33958|66277|23576|4217|5389|3460|6119|11921|2303|1255|202|169
29|3|13437|58|150855|164292|37637|38149|32595|4695|5765|4012|13227||10975|2829|618|295
11|8|7719|69|177234|184953|80801|49012|12649|9956|2878|2420|10431|6551|1794|469|123|81
14|12|9883|157|249333|259216|61558|70422|17806|9745|3617|53711|7539|16045|6053|579|1050|1051
24|5|9360|373|156642|166002|73249|29859|18845|8623|3662|3302|6071|7585|3740|914|222|197
20|11|10045|29|142694|152739|18931|47767|53534|3467|4776|3457|1713||5799|2668|417|136
30|4|4994|104|165350|170344|81627|41482|16477|2843|2282|2391|3662|8562|4654|828|301|137
16|4|10977|48|124353|135330|37575|50323|21824|4293|1493|1177|2887||3015|1408|252|58
16|12|9366|61|102297|111663|20953|42262|25764|3463|1741|798|1827||3308|1781|293|46
9|9|5381|179|164219|169600|24337|31279|55726|6105|5667|4280|4566|11136|16370|3337|799|438
31|1|3922|45|196400|200322|80133|85911|11488|3183|1154|652|4432|7888|917|500|68|29
