ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
14|11|5638|90|154896|160534|37394|51628|9610|5894|2812|24592|4811|12003|4456|414|610|582
7|8|12246|108|166817|179063|12285|39484|22590|64324|6298|1805|6728|6540|3660|2605|243|147
19|5|9853|71|114468|124321|31551|55982|6191|3322|9361|894|3933||1942|993|66|162
25|1|10281|31|123914|134195|42429|50239|8295|2079|872|692|17519||1094|492|127|45
16|3|13528|46|114636|128164|21700|41912|27578|6565|3699|1360|3719||4638|2973|342|104
2|7|16041|72|154884|170925|52136|50018|23480|7246|4651|2842|6137||6018|1692|404|188
31|1|10573|46|189737|200310|80768|86120|11828|3269|1215|687|4288||926|478|79|33
28|5|10981|74|169353|180334|53942|57137|14365|4724|5214|1970|26172||4211|1138|224|182
11|14|13046|54|127803|140849|50542|34975|18438|8733|2002|6384|3772||1775|765|235|128
15|37|4421|103|162586|167007|27830|47861|38864|6080|4418|7294|6291|12855|8176|1721|724|369
24|0|122112|1299|997296|1119408|362884|310149|113965|60621|39822|32731|43226||20270|8092|2347|1890
1|0|37955|516|450240|488195|159315|140055|36992|21765|10524|7037|62253||8644|2141|549|449
28|0|86773|722|1339788|1426561|549683|414170|142387|49052|23816|14485|104488||30327|7777|1848|1033
24|4|14711|63|129066|143777|38452|46219|15304|8040|5112|7047|4468||2528|1280|329|224
22|1|15295|47|188490|203785|58704|89007|14375|9680|3308|5921|5123||1438|624|180|83
30|0|118565|1676|3436244|3554809|1245205|1026460|553068|81089|60774|46654|67601|192741|117038|32928|8081|2929
21|8|4863|53|125886|130749|29317|31872|19775|3665|7641|2199|4090|12687|9525|4164|448|450
7|1|11960|49|186271|198231|21763|45282|36668|51216|8575|2380|2726|5539|7149|4291|413|220
15|35|6053|65|161151|167204|28262|64391|29840|4533|5796|5917|5279|11384|3581|1470|404|229
22|2|19275|93|192462|211737|76096|70096|19051|7412|5166|3855|6833||2710|856|166|128
16|12|9581|57|102290|111871|22023|40335|26162|3777|1760|812|1919||3328|1770|294|53
14|12|9855|569|249725|259580|60920|72009|17240|9883|3945|52180|7197|16491|6244|952|1104|991
26|3|8345|80|142579|150924|59176|59238|11935|1675|3085|1609|2534||2409|595|124|119
23|3|5309|224|128985|134294|36508|28585|33349|4895|2737|1874|3661|7909|6693|1996|411|143
22|4|15431|132|208766|224197|89468|70219|24549|6761|4184|5470|4064||2759|806|243|111
28|8|8288|90|155776|164064|77837|35721|19789|5636|1843|1778|7954||3929|850|240|109
30|20|5058|49|150037|155095|55854|50475|17995|3201|3272|1891|1983|9763|3899|1332|211|112
10|2|15785|66|168651|184436|54625|76843|16512|4470|3802|1506|4105||4965|1375|233|149
14|19|7051|67|168606|175657|46759|57855|20373|6104|3140|15013|7265|7898|2520|654|389|569
8|2|9333|36|78886|88219|19049|31306|11043|5183|2632|1342|3849||3045|976|226|199
15|14|4726|159|165264|169990|46816|42180|33699|4903|4337|2765|5371|12793|9529|1967|515|230
30|9|6744|59|169411|176155|56104|56601|26025|3776|3475|2040|3872|10072|5208|1643|390|146
28|3|12813|88|208782|221595|83357|71217|22844|7433|4048|2250|11951||3919|1248|278|149
23|2|5407|61|151061|156468|22437|52095|33085|4647|6274|2019|6357|11933|8070|3472|429|182
20|7|10171|105|142463|152634|25296|52406|43100|2654|6832|3604|1556||4395|2014|403|98
15|6|5257|129|195684|200941|39895|53495|51672|6816|4428|3714|7562|14440|10029|2643|632|229
5|4|13014|60|143017|156031|48260|60956|13148|5939|3045|1465|6420||2634|788|162|140
21|2|6454|38|144184|150638|35874|45574|16713|4727|5736|1679|7048|17584|6191|2373|380|267
17|5|12408|102|146251|158659|32673|37255|35912|10943|8171|5089|6816||6502|1902|592|294
9|27|5150|134|153760|158910|17979|26005|54815|6582|7518|4452|6602|8525|15997|4059|670|422
7|11|10350|55|160652|171002|28831|43085|27388|35469|6290|1360|2736|8404|3565|3175|196|98
31|3|16660|154|202410|219070|93249|72477|16361|5820|2682|2696|4958||2978|675|224|136
24|5|15742|418|151101|166843|74636|32043|16920|9606|3365|2935|6600||3369|823|204|182
9|11|5355|181|155047|160402|25373|25866|54608|5128|6909|4353|4843|7992|15315|3308|714|457
19|1|9065|76|161772|170837|79373|50834|10534|4125|5085|2369|6292||2185|648|113|138
32|3|6152|120|157960|164112|25776|61733|23429|7765|9136|1923|6208|15221|4124|2086|289|150
25|5|13205|136|159699|172904|27565|58674|23875|4569|6557|3594|26757||5998|1346|377|251
27|3|5747|30|180562|186309|5701|59211|79870|2324|2308|1979|2167|7704|12381|6115|680|92
21|10|5970|120|163561|169531|62198|29908|23482|4405|7193|3713|7842|10903|10431|2406|536|424
14|14|6748|116|162983|169731|49437|46904|9620|6713|2733|25021|4214|12529|4101|419|598|578
32|4|6447|111|166968|173415|25962|64922|24974|8587|8520|1656|7233|17255|4818|2488|231|211
29|1|16562|73|155913|172475|53205|42843|26985|7190|5274|3124|7973||6533|2003|465|245
19|11|9237|62|143453|152690|52027|59577|10784|3584|5218|1316|7310||2370|953|117|135
15|13|3909|126|143283|147192|20186|41513|37901|4817|3749|2778|4980|13500|10556|2301|625|251
20|6|9993|104|117628|127621|15482|30628|39999|3755|6594|9116|2528||6028|2634|530|230
16|7|11401|81|127108|138509|28843|41215|34440|7171|3686|1643|3105||4216|2281|326|101
30|19|5594|45|145941|151535|53835|43320|21637|3783|2450|1492|2517|9817|4917|1605|388|135
15|22|3984|99|134022|138006|42677|35940|25423|3618|3217|1873|3563|9807|5919|1468|289|129
15|29|3557|90|132741|136298|14509|36864|41774|3938|3624|5345|4005|10170|9528|1904|761|229
21|9|5898|113|168374|174272|59300|29604|26090|4696|7538|3931|9170|11591|12975|2355|536|475
21|7|5399|52|134896|140295|28695|33596|22458|4048|6751|2202|8928|13967|9822|3629|420|328
14|13|6569|115|166966|173535|47550|53423|10334|6139|2752|24638|4707|11931|3929|405|508|535
27|2|5319|39|155136|160455|4674|53781|65393|1844|1847|1303|1504|7837|10640|5592|613|69
13|4|10419|77|136026|146445|42274|52668|20536|4452|2749|1254|7011||3372|1276|259|98
30|10|6551|142|175706|182257|48796|37449|46894|4510|5015|3963|5726|8388|11202|2698|651|272
26|2|11308|85|146510|157818|54938|60704|14771|3448|3950|2482|2340||2496|784|280|232
12|3|11263|24|140635|151898|4897|48723|61924|2571|2775|4075|3676||7670|3333|766|201
