ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
15|19|4666|115|156315|160981|35349|||4846|59731|56274
14|8|7447|144|166787|174234|56971|||4117|66730|38825
24|6|15637|362|145716|161353|61514|31468|10329|8246||33797
11|9|15157|124|153237|168394|69681|59847|5665|3983||13937
30|16|6549|127|180912|187461|74294|||3959|59746|42786
6|2|4076|49|128990|133066|48961|||1616|62716|15648
12|6|13025|140|154504|167529|13306|58401|6167|2902||73588
7|2|9165|80|150670|159835|14389|||10059|84060|42082
25|2|11527|53|160230|171757|61159|43848|5044|25010||25116
16|1|10332|99|114986|125318|17688|42313|4252|2783||47851
30|3|4505|72|144464|148969|50900|||3133|65583|24776
24|3|16997|100|135316|152313|51376|55908|4765|4129||19038
27|4|4856|77|174207|179063|7345|||2114|58377|106294
9|5|6377|180|163022|169399|46760|||4056|36366|75660
32|2|5726|82|152038|157764|37684|||5201|76816|32255
21|15|5506|107|140349|145855|39958|||6760|53320|40204
21|14|5300|47|121498|126798|20983|||4599|53946|41923
9|20|6162|132|177948|184110|32650|||6340|43757|95069
1|3|11557|178|145382|156939|62656|43277|6092|12833||20346
15|4|5478|90|193902|199380|41792|||7230|76835|67955
2|6|13969|73|144294|158263|47371|40444|6629|5418||44359
5|1|11033|64|142291|153324|56175|56985|5570|4198||19299
29|2|13008|87|167686|180694|43929|42125|6792|8753||66000
8|8|15365|124|160222|175587|55958|60506|9782|10155||23697
11|12|15973|112|151008|166981|69990|47749|8027|5486||19644
9|25|5619|167|162497|168116|22452|||5373|36405|98100
23|1|7149|153|236523|243672|45876|||5830|97705|86959
11|0|213418|1352|2087535|2300953|955749|681429|133127|73821||242057
7|0|130276|1127|1889707|2019983|294502|||83684|1033914|476480
6|0|10178|171|289631|299809|103875|||5008|140083|40494
9|0|167755|4738|4655650|4823405|924732|||144322|1142946|2438912
30|5|4798|86|147728|152526|50884|||4419|60826|31513
20|11|10165|47|143335|153500|20892|47619|3433|1793||69551
15|25|3889|61|141004|144893|16364|||4821|63643|56115
15|11|4465|165|156147|160612|25949|||5487|65833|58713
19|6|8340|121|139708|148048|65356|45223|3041|5521||20446
14|6|8672|200|195370|204042|69983|||4419|82160|38608
19|3|10192|78|173037|183229|69485|66124|4226|7236||25888
13|5|13062|88|172007|185069|37873|65424|9522|6867||52233
9|2|6306|188|173790|180096|46122|||4878|43517|79085
20|1|9525|58|142743|152268|44288|43021|3710|2816||48850
1|2|14553|251|165333|179886|54480|50217|8508|22429||29448
30|17|6069|79|189881|195950|85508|||3341|69452|31501
30|11|5504|122|176161|181665|32465|||2819|67654|73101
14|15|6631|66|159794|166425|52236|||4625|71949|30918
19|0|120661|995|1882937|2003598|725086|742444|44922|96704||272786
12|0|110342|583|1286653|1396995|119106|429201|47514|26498||663751
16|0|164006|1136|1475335|1639361|360556|519973|78194|43545||471951
2|0|103536|718|1141398|1244934|390622|326336|49469|47723||326530
16|6|15655|41|120078|135733|30223|42919|6480|4707||35708
14|16|6534|114|173204|179738|46328|||4960|76959|44843
30|2|5895|67|170021|175916|65326|||2272|73252|29104
11|5|20373|112|176380|196753|90254|58287|11158|5025||11544
27|5|5926|78|185389|191315|15002|||2072|70607|97630
16|10|18421|242|139417|157838|46600|49399|8708|4381||30087
30|6|4304|36|139654|143958|47019|||2697|54526|35376
19|7|7892|69|120349|128241|47622|45525|2497|5289||19347
25|7|13187|74|132629|145816|23456|50797|4202|25805||28295
9|13|5523|140|155272|160795|26064|||5100|40197|83771
6|1|6102|122|160641|166743|54914|||3392|77367|24846
21|12|6351|184|178983|185334|64703|||9245|49759|55092
9|10|7712|214|204725|212437|64695|||5167|52366|82283
16|11|13489|95|122511|136000|21518|40362|6254|3584||50698
15|38|5271|425|167051|172322|18081|||5868|63747|78930
15|12|6769|182|204693|211462|33870|||7599|82611|80431
15|8|3685|87|134909|138594|21809|||4938|57625|50450
15|39|5024|110|165590|170614|14623|||6014|72483|72360
17|4|11191|115|144432|155623|27925|44377|10694|3740||57581
9|15|9666|276|231659|241325|88085|||4901|53120|85277
28|4|11774|72|149147|160921|58284|49813|7597|9842||23539
4|0|36084|123|342654|378738|110393|138867|6675|15937||70659
31|0|66747|468|981756|1048503|426157|405488|26757|20110||102776
22|0|64125|399|787182|851307|309514|293925|30712|20702||131930
23|0|17865|438|516569|534434|104821|||15848|207769|187693
20|0|110755|1246|1480258|1591241|338642|440892|50600|31008||618098
1|1|11845|87|139525|151370|42179|46561|7165|26991||16542
21|5|5376|68|138503|143879|35323|||8894|58038|36180
26|4|11918|40|150477|162395|48289|54210|3214|4703||40021
15|16|5000|141|167454|172454|24476|||6072|74017|62748
25|4|9839|48|116621|126460|19244|43245|2977|29726||21381
7|4|11199|91|159215|170414|30127|||11414|83941|33642
30|8|6136|89|193905|200041|68984|||3723|70112|50997
27|6|6484|76|196422|202906|10102|||2296|76754|107194
26|1|9439|40|138889|148328|62856|50386|2775|2074||20758
17|2|13773|239|160743|174516|35995|43029|11207|7540||62733
25|3|13214|47|139392|152606|35190|55462|3420|22655||22618
8|9|15363|111|133759|149122|34003|79145|3767|6061||10672
15|20|3584|133|135630|139214|18731|||3804|50110|62852
26|6|12302|85|155450|167752|39403|74126|2214|2351||37271
32|1|5078|56|155141|160219|22945|||5933|80630|45577
4|1|17566|68|182316|199882|53634|77861|3582|11017||36154
14|3|8064|116|163221|171285|65270|||3696|76045|18094
9|4|5309|132|160944|166253|24183|||5059|35813|95757
7|6|12576|128|164167|176743|30216|||5607|87486|40730
7|9|12719|249|155075|167794|23961|||6808|70295|53762
2|2|11938|129|129166|141104|56073|38621|4582|5767||23994
25|6|10913|79|126123|137036|35840|49543|2890|22403||15368
13|0|86303|502|1131195|1217498|287814|436977|38186|65495||302221
9|12|6387|183|171081|177468|34630|||4977|48321|82970
29|3|13727|50|150744|164471|44134|38019|4847|8004||55690
29|0|43297|210|474343|517640|141268|122987|18829|24730||166319
14|0|133400|2556|3276373|3409773|991176|||101863|1410253|770525
28|2|11426|119|162218|173644|62694|50008|6948|9811||32638
14|5|6545|112|175059|181604|47099|||5900|67998|53950
8|1|17161|166|157922|175083|35466|58711|12357|8917||42305
11|8|13161|62|172132|185293|81742|50911|11071|8041||20305
11|6|21034|183|171550|192584|83362|58369|11432|5611||12593
14|17|6412|100|175461|181873|49210|||7103|79879|39169
15|5|6154|90|204055|210209|36033|||6063|89590|72279
9|3|6707|168|181707|188414|37484|||5882|46731|91442
21|11|6426|185|178279|184705|69786|||8307|48439|51562
13|7|14518|41|172224|186742|40809|68170|6817|12325||44062
24|7|21606|50|155534|177140|47492|52687|7016|8001||40288
27|1|5555|37|157519|163074|14730|||1402|67455|73895
20|9|11070|148|133187|144257|36739|36895|5152|3929||50324
20|3|11114|149|138412|149526|31413|44690|4756|3413||53991
9|8|6555|186|184951|191506|38534|||5437|50145|90649
15|18|6348|138|196202|202550|54950|||5075|82374|53665
19|10|8884|95|132992|141876|62055|42786|2944|4864||20248
11|4|16086|150|154995|171081|65422|58681|8903|5067||16772
15|9|7371|75|175640|183011|31161|||5373|99201|39830
9|22|4698|124|148726|153424|13013|||4870|32530|98189
19|4|7909|71|155638|163547|79484|42840|3823|7282||22138
5|5|13349|62|161474|174823|57070|63452|5958|5388||29544
16|2|13470|90|121742|135212|25150|41155|5955|3672||45720
15|31|3606|113|131220|134826|12947|||4084|48363|65713
15|40|6106|123|158878|164984|34160|||4344|82351|37900
5|6|12245|126|178069|190314|74787|52979|4952|6487||38738
8|7|14897|93|140726|155623|34339|65431|6555|6163||28145
9|9|5769|154|164428|170197|26559|||5020|45935|86760
21|13|4247|54|124677|128924|40720|||4054|47565|32284
15|33|6806|178|198628|205434|28005|||6106|85624|78715
7|12|8417|93|145009|153426|38299|||4692|74073|27852
28|1|11480|147|162281|173761|75207|43179|4590|18993||20165
11|3|21897|212|175054|196951|86190|59213|10809|6038||12592
15|23|8088|86|180172|188260|41158|||4893|90593|43442
19|8|8377|56|147806|156183|58629|57286|3531|7447||20857
15|7|5785|197|197180|202965|51907|||7009|69934|68133
30|18|7663|64|164335|171998|48277|||2673|64279|49042
12|5|10656|40|154974|165630|15013|48647|2243|1933||87098
28|7|9652|93|177007|186659|74610|47385|7014|9451||38454
11|1|12075|94|118880|130955|50237|42854|8049|5178||12468
8|6|13244|121|163946|177190|67959|59272|7159|8121||21314
2|3|11343|84|136934|148277|41733|39146|4933|5242||45796
2|5|10675|141|134931|145606|50926|31338|5998|4384||42144
30|21|5604|68|164289|169893|41613|||1968|67215|53425
16|5|12667|78|130422|143089|42774|41650|6992|4116||34812
9|26|7830|331|195151|202981|51150|||5411|49005|89254
25|0|94071|550|1078981|1173052|278187|389791|31049|189827||189577
9|6|5470|139|163516|168986|23370|||5206|42051|92750
